time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid
2016-12-12T14:39:22Z,50.370474,3.465770,,33.646,,,0,network,,,,,,
2016-12-12T14:39:35Z,50.370479,3.466408,72.19118623439817,12.0,,0.0,9,gps,1.4,2.4,2.8,47.3,,
2016-12-12T14:39:36Z,50.370469,3.466373,69.76434186057702,8.0,,0.0,10,gps,0.8,2.2,2.6,47.3,,
2016-12-12T14:39:38Z,50.370452,3.466355,68.69113328993348,8.0,,0.0,10,gps,1.3,2.9,3.2,47.3,,
2016-12-12T14:39:40Z,50.370443,3.466360,68.61665267364067,6.0,,0.0,11,gps,1.4,2.3,2.7,47.3,,
2016-12-12T14:39:42Z,50.370415,3.466392,67.4882310131235,4.0,,1.9196918,12,gps,1.1,2.0,2.3,47.3,,
2016-12-12T14:39:44Z,50.370321,3.466440,65.91916412742378,6.0,165.02048,4.7195587,12,gps,0.8,1.2,1.5,47.3,,
2016-12-12T14:39:46Z,50.370227,3.466481,66.45913760664763,6.0,174.32162,3.6134315,13,gps,0.9,1.4,1.6,47.3,,
2016-12-12T14:39:48Z,50.370158,3.466492,67.52045010031996,6.0,169.47299,3.7952888,13,gps,1.3,2.7,3.0,47.3,,
2016-12-12T14:39:50Z,50.370046,3.466527,69.09661195764407,8.0,174.56535,5.7076225,13,gps,1.1,2.2,2.4,47.3,,
2016-12-12T14:39:52Z,50.369924,3.466575,65.66506843450176,6.0,167.5481,5.258525,14,gps,0.9,1.9,2.1,47.3,,
2016-12-12T14:39:54Z,50.369858,3.466614,66.49085025664112,8.0,188.51424,3.0351088,14,gps,1.4,2.3,2.7,47.3,,
2016-12-12T14:39:56Z,50.369820,3.466570,67.5272303364159,4.0,247.26796,3.7635174,14,gps,1.7,2.6,3.1,47.3,,
2016-12-12T14:39:58Z,50.369797,3.466405,68.88599145096188,4.0,263.08054,5.427131,15,gps,0.8,1.5,1.7,47.3,,
2016-12-12T14:40:00Z,50.369779,3.466194,70.35238666026757,4.0,261.2617,6.798181,16,gps,0.9,1.6,1.9,47.3,,
2016-12-12T14:40:02Z,50.369755,3.465958,72.98594821249233,4.0,262.0434,7.543377,15,gps,0.9,1.5,1.7,47.3,,
